開始時間,終了時間,1位プレイヤー,1位得点,2位プレイヤー,2位得点,3位プレイヤー,3位得点,4位プレイヤー,4位得点,タグ,牌譜リンク
2023-03-14 01:52:21,2023-03-14 02:16:40,はまー,+63.90,noika,+4.70,_pisuke,-22.10,雀士ふかふか,-46.50,auto,230314-d5af1ba5-a301-4de0-a2e8-0186e88aeddc
2023-03-14 01:15:09,2023-03-14 01:46:29,_pisuke,+72.50,雀士ふかふか,+6.30,しんさくさん,-25.10,noika,-53.70,auto,230314-82453320-1399-458d-a540-0d4718da311e
2023-03-14 00:45:03,2023-03-14 01:25:35,プリントゴッコ,+55.50,redfit,+12.10,YuRi,-14.50,rroki_,-53.10,auto,230313-df3c5bed-b208-416f-a8fe-fd932b167905
2023-03-14 00:28:02,2023-03-14 01:08:50,しんさくさん,+60.50,たこしゅ,+2.60,_pisuke,-20.50,halstar,-42.60,auto,230313-b763dac1-84d9-4a3e-a25e-0ba7cdb052c2
2023-03-14 00:04:42,2023-03-14 00:44:10,ahirutake,+63.70,プリントゴッコ,+2.10,YuRi,-21.50,ぷじょ〜る,-44.30,auto,230313-facf984f-ee56-4d3b-9aa8-2dca7383d379
2023-03-13 12:16:57,2023-03-13 12:50:00,いかおち,+69.80,はまー,+2.20,ahirutake,-23.50,タイビィ,-48.50,auto,230313-d8de3f9c-49cf-4c50-8d8d-64e92123610e
2023-03-13 01:30:09,2023-03-13 02:06:31,kawakubox,+57.30,noika,+6.40,いかおち,-16.50,たこしゅ,-47.20,auto,230313-af8e02e2-1774-482c-b460-98507921a5f2
2023-03-11 02:19:59,2023-03-11 02:58:18,たこしゅ,+83.00,はまー,-2.20,komatsuh,-26.70,rroki_,-54.10,auto,230311-a629d540-166b-4685-b2d0-97f4815339a7
2023-03-10 23:43:18,2023-03-11 00:32:39,みそらー,+57.90,プリントゴッコ,+15.60,_pisuke,-12.80,いかおち,-60.70,auto,230310-c700743b-be7f-42be-9f09-1d88a2b986ea
2023-03-09 23:19:07,2023-03-10 00:06:58,komatsuh,+78.80,みそらー,+11.80,ぷじょ〜る,-31.10,プリントゴッコ,-59.50,auto,230309-1ec0a0c4-bfde-4771-94c3-94b609034dc3
2023-03-09 01:07:38,2023-03-09 01:44:49,ぷじょ〜る,+69.70,rroki_,+15.20,すみそ・にあん,-29.00,noika,-55.90,auto,230309-27667e5c-f297-4b07-bc95-04eae43db131
2023-03-08 23:23:44,2023-03-09 00:02:24,プリントゴッコ,+64.80,ahirutake,+7.20,ぷじょ〜る,-16.80,パパネオ,-55.20,auto,230308-c2ca7822-cb55-4fe8-a4fb-e12c589ec929
2023-03-08 22:39:15,2023-03-08 23:17:43,みそらー,+55.70,_pisuke,+4.40,2nijuku9,-19.80,プリントゴッコ,-40.30,auto,230308-2e894374-dd09-45ec-abfa-c29874c4fdd6
2023-03-08 00:50:18,2023-03-08 01:38:59,kawakubox,+50.30,redfit,+9.60,ahirutake,-14.30,すみそ・にあん,-45.60,auto,230307-1ad15b4b-740f-42e0-b14d-0f4c1070fb9e
2023-03-07 23:48:34,2023-03-08 01:02:02,komatsuh,+89.10,プリントゴッコ,+30.80,パパネオ,-29.40,ぷじょ〜る,-90.50,auto,230307-bd9f9b1e-3066-475e-97c2-7b284dcacaa4
2023-03-07 22:32:26,2023-03-07 23:14:54,プリントゴッコ,+53.40,みそらー,+7.70,たこしゅ,-14.30,fもっくん,-46.80,auto,230307-2c9938ad-2750-467d-8c8b-4a122464a938
2023-03-07 12:33:16,2023-03-07 13:05:53,タイビィ,+83.00,ahirutake,+1.70,しんさくさん,-27.90,はまー,-56.80,auto,230307-54148b9c-db09-4481-ba0f-ed7d4f08d725
2023-03-06 16:22:37,2023-03-06 17:14:08,YuRi,+57.40,みぃたんzzz,+11.90,タイビィ,-11.70,はまー,-57.60,auto,230306-a6c95de4-2fb8-4b13-862b-833e72e7cd99
2023-03-04 02:11:24,2023-03-04 02:41:24,red0000,+53.80,はまー,+8.40,komatsuh,-17.80,パパネオ,-44.40,auto,230304-fd3a715a-33d5-4113-bcfb-e2e89ee6630d
2023-03-04 01:38:09,2023-03-04 02:11:25,ahirutake,+57.90,noika,+7.50,いかおち,-18.70,雀士ふかふか,-46.70,auto,230304-3f488a09-9ef3-44ca-8d83-66caffe44b4c
2023-03-04 01:32:51,2023-03-04 02:10:46,redfit,+55.60,パパネオ,+7.30,はまー,-19.80,すみそ・にあん,-43.10,auto,230304-221feed7-518f-40ee-b162-19975508da0c
2023-03-04 00:58:40,2023-03-04 01:36:30,いかおち,+54.40,雀士ふかふか,+7.70,kawakubox,-12.40,ahirutake,-49.70,auto,230303-0ad4eeef-3b12-4806-ba0e-f8a4e7da309c
2023-03-04 00:45:40,2023-03-04 01:32:03,パパネオ,+76.60,noika,+6.00,redfit,-21.40,red0000,-61.20,auto,230303-72b530b2-41ee-4c1e-ac23-a2f6f3751905
2023-03-04 00:05:24,2023-03-04 00:57:16,kawakubox,+80.40,いかおち,+3.80,ahirutake,-24.30,雀士ふかふか,-59.90,auto,230303-c8ff016e-9df0-411a-89b7-6ce965ba3538
2023-03-03 23:47:25,2023-03-04 00:44:53,noika,+87.30,komatsuh,+13.50,red0000,-18.20,fもっくん,-82.60,auto,230303-2a0896c6-2bcb-4750-82d4-e6bc2baecd21
2023-03-03 23:14:35,2023-03-03 23:56:16,すみそ・にあん,+63.70,redfit,+22.80,ぷじょ〜る,-9.80,ahirutake,-76.70,auto,230303-bed96ed7-73d9-4a90-8f40-13c6b7b02918
2023-03-03 23:06:43,2023-03-03 23:40:53,komatsuh,+73.90,みそらー,+3.80,noika,-24.50,fもっくん,-53.20,auto,230303-361dae77-9dc3-4874-9d92-15c79d692ede
2023-03-03 22:31:23,2023-03-03 23:07:09,redfit,+59.60,ahirutake,+0.70,ぷじょ〜る,-19.60,すみそ・にあん,-40.70,auto,230303-0f6f8f83-42e3-499b-af23-8f70ec2eb789
2023-03-03 01:25:24,2023-03-03 02:13:32,たこしゅ,+60.90,_pisuke,+5.80,redfit,-20.20,komatsuh,-46.50,auto,230303-c3582451-fba0-426e-a18b-27f1d161cbc6
2023-03-02 23:50:45,2023-03-03 00:25:01,redfit,+54.30,noika,+7.50,fもっくん,-14.60,rroki_,-47.20,auto,230302-288f75ef-c1b6-4fa5-a2f4-18db30088643
2023-03-02 16:29:48,2023-03-02 17:22:03,redfit,+59.30,みぃたんzzz,+3.40,ahirutake,-20.20,aya,-42.50,auto,230302-f548c5a2-b408-4cb0-a635-d2105445d775
2023-03-02 12:42:54,2023-03-02 13:36:58,タイビィ,+68.00,みぃたんzzz,+11.60,しんさくさん,-16.00,はまー,-63.60,auto,230302-f82564c0-e41d-4081-ba0d-e102be8e34df
2023-03-02 12:07:06,2023-03-02 12:41:36,みぃたんzzz,+56.00,はまー,+14.70,しんさくさん,-23.90,タイビィ,-46.80,auto,230302-223dcea6-ea9d-4547-9ac3-1f886431dc44
2023-03-02 01:48:14,2023-03-02 02:48:14,ぶさ14ぶさ,+88.80,rroki_,+7.90,すみそ・にあん,-21.90,みぃたんzzz,-74.80,auto,230302-ad92fec2-e6a6-4ef9-8231-34b705fb4689
2023-03-01 23:54:45,2023-03-02 00:57:26,ahirutake,+62.70,noika,+18.10,komatsuh,-19.80,_pisuke,-61.00,auto,230301-71de665b-9191-46a6-be76-d0551ac1b34a
2023-03-01 16:57:45,2023-03-01 17:32:08,はまー,+158.70,タイビィ,+14.50,みぃたんzzz,-28.90,aya,-144.30,auto,230301-5d6fb765-26b5-471d-af67-16857acce613
2023-03-01 15:32:51,2023-03-01 16:54:23,みぃたんzzz,+111.40,タイビィ,+26.10,aya,-35.30,はまー,-102.20,auto,230301-67c36f95-1648-404e-a883-d0e2a109e467
2023-03-01 14:24:42,2023-03-01 14:54:56,タイビィ,+56.30,aya,+10.70,はまー,-18.80,みぃたんzzz,-48.20,auto,230301-cb8d1285-d590-47b1-a66e-5ec48d25cb96
2023-03-01 13:52:20,2023-03-01 14:23:00,タイビィ,+59.20,はまー,+15.20,みぃたんzzz,-25.60,aya,-48.80,auto,230301-a7363d75-e4e7-47f2-9b02-e89db3c0235c
2023-03-01 12:50:15,2023-03-01 13:32:11,雀士ふかふか,+65.80,はまー,+0.90,タイビィ,-21.00,みぃたんzzz,-45.70,auto,230301-bcd3145f-2381-4c8f-91dc-bb2f71b81ec1
2023-03-01 01:08:16,2023-03-01 01:50:05,すみそ・にあん,+51.40,雀士ふかふか,+11.10,kawakubox,-13.30,rroki_,-49.20,auto,230301-0d22b380-6e87-4d17-b396-ce47fa014cd9
2023-03-01 00:32:40,2023-03-01 01:07:01,雀士ふかふか,+57.20,kawakubox,+8.30,すみそ・にあん,-17.80,rroki_,-47.70,auto,230228-de646059-af90-450a-bc02-37f6a9343cba
